"Drawing number","Product name","Client name","区分","材質","加工方法","外注先","板厚","発注№","Note","Drawing","見積書","注文書","ミルシート","作業指示書","検査成績書","不具合管理表","作業見本","製品見本","Registration date","URL"
"$2P242309A","底板ASSY(鈑金)","ダイキン工業株式会社","試作","SPCC,SECC,EP","","","1.60,2.30","","","1","","","","","","","","","2025-05-28","https://zume-n.com/drawings/7817062"
"$2P242309A","底板ASSY(鈑金)","ダイキン工業株式会社","試作","SS400,SPCC,SPHC,MSLFS,MSLFC,THEMAL INSULATION","","","3.20,1.60","","","1","","","","","","","","","2025-05-28","https://zume-n.com/drawings/7817065"
"4PE01386","電動機台補強板","ダイキン工業株式会社","通常","SPGC","","","1.2","","","1","","","","","","","","","2025-05-28","https://zume-n.com/drawings/7816758"
"3PE01385","電動機台本体","ダイキン工業株式会社","通常","SPCC","","","1.6","","","1","","","","","","","","","2025-05-28","https://zume-n.com/drawings/7816753"
"3PE01384A","電動機台","ダイキン工業株式会社","通常","","","","","","","1","","","","","","","","","2025-05-28","https://zume-n.com/drawings/7816751"
"3PB08094C","管板","ダイキン工業株式会社","通常","SPGC,SPGC","","","1.00,0.80","","","1","","","","","","","","","2025-05-28","https://zume-n.com/drawings/7816748"
"Y4182156","デンドウキコティイタ","ダイキン工業株式会社","通常","アンシキ STCC","","","2.65","","","1","","","","","","","","","2025-05-28","https://zume-n.com/drawings/7816745"
"Y4181432","曲抜用トイ","ダイキン工業株式会社","通常","SPG-2C","","","0.5","","","1","","","","","","","","","2025-05-28","https://zume-n.com/drawings/7816741"
"R4763480J","エンドプレート","ダイキン工業株式会社","通常","SGHC-ZN22,SGHC-F08","","","1.60,2.00","","","1","","","","","","","","","2025-05-28","https://zume-n.com/drawings/7816738"
"R4763057G","エンドプレート","ダイキン工業株式会社","通常","SGCC-ZN22,SGCC-F08","","","2","","","1","","","","","","","","","2025-05-28","https://zume-n.com/drawings/7816735"
"R4761928D","エンドプレート","ダイキン工業株式会社","通常","SGCC-2N22","","","1","","","1","","","","","","","","","2025-05-28","https://zume-n.com/drawings/7816733"
"R4696604A","防滴板","ダイキン工業株式会社","通常","SPCC","","","1","","","1","","","","","","","","","2025-05-28","https://zume-n.com/drawings/7816730"
"R413652B","ロータナット用廻り止め座金","ダイキン工業株式会社","通常","SS41P","","","2.3","","","1","","","","","","","","","2025-05-28","https://zume-n.com/drawings/7816727"
"R3763433C","エンドリング","ダイキン工業株式会社","通常","SPGC-Z","","","2","","","1","","","","","","","","","2025-05-28","https://zume-n.com/drawings/7816718"
